Time(s),CH1V,CH2V
-1.220000e-04,3.141467e+00,3.162933e+00
-1.200000e-04,3.145867e+00,3.167200e+00
-1.180000e-04,3.148133e+00,3.162933e+00
-1.160000e-04,3.132667e+00,3.148000e+00
-1.140000e-04,3.126000e+00,3.162933e+00
-1.120000e-04,3.152533e+00,3.154400e+00
-1.100000e-04,3.152533e+00,3.173600e+00
-1.080000e-04,3.130400e+00,3.148000e+00
-1.060000e-04,3.141467e+00,3.169333e+00
-1.040000e-04,3.128267e+00,3.167200e+00
-1.020000e-04,3.139333e+00,3.160800e+00
-1.000000e-04,3.132667e+00,3.156533e+00
-9.800000e-05,3.139333e+00,3.171467e+00
-9.600000e-05,3.150267e+00,3.160800e+00
-9.400000e-05,3.126000e+00,3.162933e+00
-9.200000e-05,3.130400e+00,3.152267e+00
-9.000000e-05,3.145867e+00,3.160800e+00
-8.800000e-05,3.156933e+00,3.156533e+00
-8.600000e-05,3.132667e+00,3.184267e+00
-8.400000e-05,3.143733e+00,3.169333e+00
-8.200000e-05,3.161333e+00,3.158667e+00
-8.000000e-05,3.132667e+00,3.167200e+00
-7.800000e-05,3.137067e+00,3.173600e+00
-7.600000e-05,3.141467e+00,3.162933e+00
-7.400000e-05,3.148133e+00,3.162933e+00
-7.200000e-05,3.137067e+00,3.162933e+00
-7.000000e-05,3.132667e+00,3.165067e+00
-6.800000e-05,3.141467e+00,3.158667e+00
-6.600000e-05,3.114933e+00,3.158667e+00
-6.400000e-05,3.134800e+00,3.162933e+00
-6.200000e-05,3.154800e+00,3.160800e+00
-6.000000e-05,3.154800e+00,3.165067e+00
-5.800000e-05,3.121600e+00,3.154400e+00
-5.600000e-05,3.134800e+00,3.182133e+00
-5.400000e-05,3.143733e+00,3.160800e+00
-5.200000e-05,3.134800e+00,3.175733e+00
-5.000000e-05,3.152533e+00,3.152267e+00
-4.800000e-05,3.134800e+00,3.158667e+00
-4.600000e-05,3.145867e+00,3.156533e+00
-4.400000e-05,3.126000e+00,3.162933e+00
-4.200000e-05,3.141467e+00,3.175733e+00
-4.000000e-05,3.137067e+00,3.150133e+00
-3.800000e-05,3.137067e+00,3.156533e+00
-3.600000e-05,3.163600e+00,3.173600e+00
-3.400000e-05,3.123867e+00,3.173600e+00
-3.200000e-05,3.137067e+00,3.171467e+00
-3.000000e-05,3.134800e+00,3.158667e+00
-2.800000e-05,3.123867e+00,3.184267e+00
-2.600000e-05,3.156933e+00,3.167200e+00
-2.400000e-05,3.117200e+00,3.186400e+00
-2.200000e-05,3.145867e+00,3.156533e+00
-2.000000e-05,3.145867e+00,3.162933e+00
-1.800000e-05,3.148133e+00,3.154400e+00
-1.600000e-05,3.148133e+00,3.184267e+00
-1.400000e-05,3.145867e+00,3.177867e+00
-1.200000e-05,3.148133e+00,3.165067e+00
-1.000000e-05,3.139333e+00,3.175733e+00
-8.000000e-06,3.145867e+00,4.213334e-02
-6.000000e-06,3.152533e+00,5.066667e-02
-4.000000e-06,7.066667e-03,3.148000e+00
-2.000000e-06,2.706667e-02,3.173600e+00
-1.414545e-19,3.360000e-02,3.173600e+00
2.000000e-06,3.119333e+00,3.173600e+00
4.000000e-06,3.141467e+00,3.177867e+00
6.000000e-06,1.813333e-02,3.162933e+00
8.000000e-06,4.693333e-02,3.182133e+00
1.000000e-05,2.920000e-02,3.160800e+00
1.200000e-05,3.114933e+00,3.190667e+00
