Time(s),CH1V,CH2V
-1.220000e-04,3.269733e+00,3.284800e+00
-1.200000e-04,3.267467e+00,3.269733e+00
-1.180000e-04,3.265333e+00,3.286933e+00
-1.160000e-04,3.265333e+00,3.291200e+00
-1.140000e-04,3.282933e+00,3.284800e+00
-1.120000e-04,3.258667e+00,3.304000e+00
-1.100000e-04,3.254267e+00,3.291200e+00
-1.080000e-04,3.294000e+00,3.291200e+00
-1.060000e-04,3.258667e+00,3.299733e+00
-1.040000e-04,3.280800e+00,3.280533e+00
-1.020000e-04,3.256400e+00,3.276133e+00
-1.000000e-04,3.274133e+00,3.289067e+00
-9.800000e-05,3.263067e+00,3.295467e+00
-9.600000e-05,3.256400e+00,3.295467e+00
-9.400000e-05,3.267467e+00,3.289067e+00
-9.200000e-05,3.278533e+00,3.269733e+00
-9.000000e-05,3.291733e+00,3.280533e+00
-8.800000e-05,3.260800e+00,3.289067e+00
-8.600000e-05,3.274133e+00,3.297600e+00
-8.400000e-05,3.245333e+00,3.284800e+00
-8.200000e-05,3.274133e+00,3.291200e+00
-8.000000e-05,3.247600e+00,3.291200e+00
-7.800000e-05,3.256400e+00,3.291200e+00
-7.600000e-05,3.252000e+00,3.280533e+00
-7.400000e-05,3.254267e+00,3.284800e+00
-7.200000e-05,3.247600e+00,3.291200e+00
-7.000000e-05,3.274133e+00,3.284800e+00
-6.800000e-05,3.252000e+00,3.280533e+00
-6.600000e-05,3.269733e+00,3.286933e+00
-6.400000e-05,3.252000e+00,3.306133e+00
-6.200000e-05,3.263067e+00,3.286933e+00
-6.000000e-05,3.280800e+00,3.278267e+00
-5.800000e-05,3.278533e+00,3.284800e+00
-5.600000e-05,3.278533e+00,3.254800e+00
-5.400000e-05,3.285200e+00,3.291200e+00
-5.200000e-05,3.260800e+00,3.286933e+00
-5.000000e-05,3.274133e+00,3.284800e+00
-4.800000e-05,3.271867e+00,3.295467e+00
-4.600000e-05,3.256400e+00,3.299733e+00
-4.400000e-05,3.278533e+00,3.304000e+00
-4.200000e-05,3.278533e+00,3.284800e+00
-4.000000e-05,3.278533e+00,3.291200e+00
-3.800000e-05,3.267467e+00,3.278267e+00
-3.600000e-05,3.282933e+00,3.316800e+00
-3.400000e-05,3.258667e+00,3.274000e+00
-3.200000e-05,3.265333e+00,3.301867e+00
-3.000000e-05,3.252000e+00,3.301867e+00
-2.800000e-05,3.245333e+00,3.299733e+00
-2.600000e-05,3.269733e+00,3.301867e+00
-2.400000e-05,3.247600e+00,3.291200e+00
-2.200000e-05,3.247600e+00,3.278267e+00
-2.000000e-05,3.263067e+00,3.301867e+00
-1.800000e-05,3.256400e+00,3.310400e+00
-1.600000e-05,3.254267e+00,3.284800e+00
-1.400000e-05,3.271867e+00,3.299733e+00
-1.200000e-05,3.256400e+00,3.280533e+00
-1.000000e-05,3.249867e+00,3.291200e+00
-8.000000e-06,3.265333e+00,6.786667e-02
-6.000000e-06,3.256400e+00,4.213334e-02
-4.000000e-06,4.026667e-02,3.263333e+00
-2.000000e-06,2.920000e-02,3.301867e+00
-1.414545e-19,5.133333e-02,3.278267e+00
2.000000e-06,3.263067e+00,3.306133e+00
4.000000e-06,3.263067e+00,3.282667e+00
6.000000e-06,4.693333e-02,3.299733e+00
8.000000e-06,1.600000e-02,3.308267e+00
1.000000e-05,1.813333e-02,3.284800e+00
1.200000e-05,3.229867e+00,3.301867e+00
1.400000e-05,3.252000e+00,3.308267e+00
1.600000e-05,6.240000e-02,4.213334e-02
1.800000e-05,3.360000e-02,4.640000e-02
2.000000e-05,3.360000e-02,5.066667e-02
2.200000e-05,3.185733e+00,5.920000e-02
2.400000e-05,3.263067e+00,5.066667e-02
2.600000e-05,8.000000e-02,4.213334e-02
2.800000e-05,3.586667e-02,3.291200e+00
3.000000e-05,1.373333e-02,3.291200e+00
3.200000e-05,1.684800e+00,3.308267e+00
3.400000e-05,3.258667e+00,3.321067e+00
3.600000e-05,3.252000e+00,3.291200e+00
3.800000e-05,4.253333e-02,8.493333e-02
4.000000e-05,2.706667e-02,5.493334e-02
4.200000e-05,2.480000e-02,8.493333e-02
4.400000e-05,3.260800e+00,4.853334e-02
4.600000e-05,3.258667e+00,4.213334e-02
4.800000e-05,4.466667e-02,3.152267e+00
5.000000e-05,3.146667e-02,3.297600e+00
5.200000e-05,2.706667e-02,3.323200e+00
5.400000e-05,3.252000e+00,3.310400e+00
5.600000e-05,3.274133e+00,3.301867e+00
5.800000e-05,4.026667e-02,3.297600e+00
6.000000e-05,2.920000e-02,3.304000e+00
6.200000e-05,2.920000e-02,3.304000e+00
6.400000e-05,3.095067e+00,3.312533e+00
6.600000e-05,3.267467e+00,3.310400e+00
6.800000e-05,9.664000e-01,3.308267e+00
7.000000e-05,4.253333e-02,5.493334e-02
7.200000e-05,4.026667e-02,4.640000e-02
7.400000e-05,1.242667e-01,5.706667e-02
7.600000e-05,3.274133e+00,4.213334e-02
7.800000e-05,3.278533e+00,6.346667e-02
8.000000e-05,4.253333e-02,5.066667e-02
8.200000e-05,3.586667e-02,4.640000e-02
8.400000e-05,5.800000e-02,5.280000e-02
8.600000e-05,3.263067e+00,5.706667e-02
8.800000e-05,3.258667e+00,6.346667e-02
9.000000e-05,1.813333e-02,6.346667e-02
9.200000e-05,4.026667e-02,7.000000e-02
9.400000e-05,1.813333e-02,6.133333e-02
9.600000e-05,3.236533e+00,7.853334e-02
9.800000e-05,3.258667e+00,6.786667e-02
1.000000e-04,6.013333e-02,8.493333e-02
1.020000e-04,4.026667e-02,7.213333e-02
1.040000e-04,3.586667e-02,6.786667e-02
1.060000e-04,2.938133e+00,6.346667e-02
1.080000e-04,3.267467e+00,7.213333e-02
1.100000e-04,3.269733e+00,6.133333e-02
1.120000e-04,4.466667e-02,6.346667e-02
1.140000e-04,4.693333e-02,8.280000e-02
1.160000e-04,5.133333e-02,4.640000e-02
1.180000e-04,3.258667e+00,5.493334e-02
1.200000e-04,3.280800e+00,8.280000e-02
1.220000e-04,5.573333e-02,4.853334e-02
1.240000e-04,4.026667e-02,7.853334e-02
1.260000e-04,1.600000e-02,7.426666e-02
1.280000e-04,3.249867e+00,6.346667e-02
1.300000e-04,3.258667e+00,5.920000e-02
1.320000e-04,4.693333e-02,2.750400e+00
1.340000e-04,2.920000e-02,3.321067e+00
1.360000e-04,3.146667e-02,3.312533e+00
1.380000e-04,3.218800e+00,3.316800e+00
1.400000e-04,3.258667e+00,3.316800e+00
1.420000e-04,6.453333e-02,3.284800e+00
1.440000e-04,4.026667e-02,4.640000e-02
1.460000e-04,4.253333e-02,5.066667e-02
1.480000e-04,2.628667e+00,5.280000e-02
1.500000e-04,3.285200e+00,5.920000e-02
1.520000e-04,3.274133e+00,7.213333e-02
1.540000e-04,4.253333e-02,5.706667e-02
1.560000e-04,2.706667e-02,4.853334e-02
1.580000e-04,2.706667e-02,3.786667e-02
1.600000e-04,3.267467e+00,6.346667e-02
1.620000e-04,3.274133e+00,6.786667e-02
1.640000e-04,3.800000e-02,4.426667e-02
1.660000e-04,3.360000e-02,6.786667e-02
1.680000e-04,7.066667e-03,8.280000e-02
1.700000e-04,3.258667e+00,7.426666e-02
1.720000e-04,3.274133e+00,9.346667e-02
1.740000e-04,4.906667e-02,5.066667e-02
1.760000e-04,4.253333e-02,5.920000e-02
1.780000e-04,3.586667e-02,5.706667e-02
1.800000e-04,3.185733e+00,7.426666e-02
1.820000e-04,3.280800e+00,6.346667e-02
1.840000e-04,3.360000e-02,6.786667e-02
1.860000e-04,5.133333e-02,8.280000e-02
1.880000e-04,3.586667e-02,6.786667e-02
1.900000e-04,2.005333e+00,5.066667e-02
1.920000e-04,3.278533e+00,7.213333e-02
1.940000e-04,3.269733e+00,7.426666e-02
1.960000e-04,4.906667e-02,6.133333e-02
1.980000e-04,1.160000e-02,7.640000e-02
2.000000e-04,3.146667e-02,4.000000e-02
2.020000e-04,3.269733e+00,7.213333e-02
2.040000e-04,3.269733e+00,6.786667e-02
2.060000e-04,3.146667e-02,3.146667e-02
2.080000e-04,4.466667e-02,6.786667e-02
2.100000e-04,4.253333e-02,5.706667e-02
2.120000e-04,3.216667e+00,8.493333e-02
2.140000e-04,3.263067e+00,4.640000e-02
2.160000e-04,3.800000e-02,5.066667e-02
2.180000e-04,5.133333e-02,5.493334e-02
2.200000e-04,5.800000e-02,6.133333e-02
2.220000e-04,2.867333e+00,7.426666e-02
2.240000e-04,3.260800e+00,7.213333e-02
2.260000e-04,3.260800e+00,7.853334e-02
2.280000e-04,4.253333e-02,3.310400e+00
2.300000e-04,1.373333e-02,3.306133e+00
2.320000e-04,4.253333e-02,3.314667e+00
2.340000e-04,3.274133e+00,3.321067e+00
2.360000e-04,3.271867e+00,3.295467e+00
2.380000e-04,2.253333e-02,7.853334e-02
2.400000e-04,9.333333e-03,7.640000e-02
2.420000e-04,7.066667e-03,6.133333e-02
2.440000e-04,3.265333e+00,6.786667e-02
2.460000e-04,3.276267e+00,4.213334e-02
2.480000e-04,5.360000e-02,3.573333e-02
2.500000e-04,4.253333e-02,5.706667e-02
2.520000e-04,3.146667e-02,1.084000e-01
2.540000e-04,3.223333e+00,7.213333e-02
2.560000e-04,3.258667e+00,7.213333e-02
2.580000e-04,2.706667e-02,1.341333e-01
2.600000e-04,4.026667e-02,3.286933e+00
2.620000e-04,2.706667e-02,3.299733e+00
2.640000e-04,2.533600e+00,3.310400e+00
2.660000e-04,3.263067e+00,3.301867e+00
2.680000e-04,3.278533e+00,3.301867e+00
2.700000e-04,4.693333e-02,6.346667e-02
2.720000e-04,5.360000e-02,7.853334e-02
2.740000e-04,2.480000e-02,7.853334e-02
2.760000e-04,3.265333e+00,5.706667e-02
2.780000e-04,3.280800e+00,4.853334e-02
2.800000e-04,4.466667e-02,8.280000e-02
2.820000e-04,3.586667e-02,6.346667e-02
2.840000e-04,2.920000e-02,7.000000e-02
2.860000e-04,3.247600e+00,5.066667e-02
2.880000e-04,3.263067e+00,4.000000e-02
2.900000e-04,3.289600e+00,1.252000e+00
2.920000e-04,3.263067e+00,3.301867e+00
2.940000e-04,3.278533e+00,3.299733e+00
2.960000e-04,3.271867e+00,3.310400e+00
2.980000e-04,3.278533e+00,3.299733e+00
3.000000e-04,3.278533e+00,3.310400e+00
3.020000e-04,3.263067e+00,9.986667e-02
3.040000e-04,3.269733e+00,6.786667e-02
3.060000e-04,6.906667e-02,4.853334e-02
3.080000e-04,1.813333e-02,3.299733e+00
3.100000e-04,3.146667e-02,3.295467e+00
3.120000e-04,8.249334e-01,3.284800e+00
3.140000e-04,3.263067e+00,3.310400e+00
3.160000e-04,3.282933e+00,3.301867e+00
3.180000e-04,1.813333e-02,3.304000e+00
3.200000e-04,2.480000e-02,3.306133e+00
3.220000e-04,3.146667e-02,3.291200e+00
3.240000e-04,3.263067e+00,3.291200e+00
3.260000e-04,3.271867e+00,3.295467e+00
3.280000e-04,3.800000e-02,7.213333e-02
3.300000e-04,1.600000e-02,7.853334e-02
3.320000e-04,3.800000e-02,6.346667e-02
3.340000e-04,3.243200e+00,6.786667e-02
3.360000e-04,3.278533e+00,5.066667e-02
3.380000e-04,4.906667e-02,2.933333e-02
3.400000e-04,4.906667e-02,3.280533e+00
3.420000e-04,1.373333e-02,3.308267e+00
3.440000e-04,3.013333e+00,3.318933e+00
3.460000e-04,3.278533e+00,3.297600e+00
3.480000e-04,3.285200e+00,3.301867e+00
3.500000e-04,4.466667e-02,6.786667e-02
3.520000e-04,4.026667e-02,8.493333e-02
3.540000e-04,2.253333e-02,6.786667e-02
3.560000e-04,3.258667e+00,5.706667e-02
3.580000e-04,3.263067e+00,7.000000e-02
3.600000e-04,3.146667e-02,3.254800e+00
3.620000e-04,4.466667e-02,3.271867e+00
3.640000e-04,2.920000e-02,3.301867e+00
3.660000e-04,3.267467e+00,3.299733e+00
3.680000e-04,3.260800e+00,3.293333e+00
3.700000e-04,3.586667e-02,3.306133e+00
3.720000e-04,3.360000e-02,3.301867e+00
3.740000e-04,5.800000e-02,3.291200e+00
3.760000e-04,3.227733e+00,3.304000e+00
3.780000e-04,3.269733e+00,3.306133e+00
3.800000e-04,5.333333e-04,3.265467e+00
3.820000e-04,3.800000e-02,7.213333e-02
3.840000e-04,4.026667e-02,7.000000e-02
3.860000e-04,2.814400e+00,5.280000e-02
3.880000e-04,3.256400e+00,3.573333e-02
3.900000e-04,3.274133e+00,6.346667e-02
3.920000e-04,2.706667e-02,4.640000e-02
3.940000e-04,2.480000e-02,6.133333e-02
3.960000e-04,4.253333e-02,4.853334e-02
3.980000e-04,3.247600e+00,6.346667e-02
4.000000e-04,3.267467e+00,6.133333e-02
4.020000e-04,6.240000e-02,4.853334e-02
4.040000e-04,4.466667e-02,7.640000e-02
4.060000e-04,4.466667e-02,7.213333e-02
4.080000e-04,3.256400e+00,6.786667e-02
4.100000e-04,3.278533e+00,5.920000e-02
4.120000e-04,5.133333e-02,6.133333e-02
4.140000e-04,3.586667e-02,7.426666e-02
4.160000e-04,3.360000e-02,6.573334e-02
4.180000e-04,3.203333e+00,5.066667e-02
4.200000e-04,3.267467e+00,5.706667e-02
4.220000e-04,4.253333e-02,-3.105333e-01
4.240000e-04,2.920000e-02,6.133333e-02
4.260000e-04,1.813333e-02,7.853334e-02
4.280000e-04,2.392133e+00,7.853334e-02
4.300000e-04,3.282933e+00,8.066667e-02
4.320000e-04,3.263067e+00,6.346667e-02
4.340000e-04,3.800000e-02,3.274000e+00
4.360000e-04,3.586667e-02,3.295467e+00
4.380000e-04,4.466667e-02,3.312533e+00
4.400000e-04,3.260800e+00,3.316800e+00
4.420000e-04,3.269733e+00,3.304000e+00
4.440000e-04,5.360000e-02,7.426666e-02
4.460000e-04,2.480000e-02,6.346667e-02
4.480000e-04,3.146667e-02,7.213333e-02
4.500000e-04,3.252000e+00,4.640000e-02
4.520000e-04,3.263067e+00,5.706667e-02
4.540000e-04,4.253333e-02,4.426667e-02
4.560000e-04,3.586667e-02,7.000000e-02
4.580000e-04,4.693333e-02,6.573334e-02
4.600000e-04,3.145867e+00,6.786667e-02
4.620000e-04,3.269733e+00,7.853334e-02
4.640000e-04,1.265333e-01,6.786667e-02
4.660000e-04,4.693333e-02,7.213333e-02
4.680000e-04,2.706667e-02,6.786667e-02
4.700000e-04,1.611867e+00,6.346667e-02
4.720000e-04,3.256400e+00,5.706667e-02
4.740000e-04,3.252000e+00,5.493334e-02
4.760000e-04,4.026667e-02,5.280000e-02
4.780000e-04,2.480000e-02,4.213334e-02
4.800000e-04,2.920000e-02,5.706667e-02
4.820000e-04,3.247600e+00,6.133333e-02
4.840000e-04,3.280800e+00,6.133333e-02
4.860000e-04,4.906667e-02,6.133333e-02
4.880000e-04,3.146667e-02,6.346667e-02
4.900000e-04,2.920000e-02,4.853334e-02
4.920000e-04,3.252000e+00,6.786667e-02
4.940000e-04,3.267467e+00,6.573334e-02
4.960000e-04,6.906667e-02,-1.524000e-01
4.980000e-04,4.026667e-02,5.706667e-02
5.000000e-04,4.693333e-02,6.346667e-02
5.020000e-04,3.084000e+00,7.426666e-02
5.040000e-04,3.256400e+00,6.133333e-02
5.060000e-04,2.403200e+00,7.000000e-02
5.080000e-04,2.920000e-02,3.289067e+00
5.100000e-04,2.920000e-02,3.291200e+00
5.120000e-04,1.160000e-02,3.321067e+00
5.140000e-04,3.263067e+00,3.314667e+00
5.160000e-04,3.260800e+00,3.310400e+00
5.180000e-04,4.693333e-02,7.640000e-02
5.200000e-04,3.360000e-02,6.573334e-02
5.220000e-04,3.360000e-02,7.213333e-02
5.240000e-04,3.269733e+00,9.346667e-02
5.260000e-04,3.285200e+00,6.346667e-02
5.280000e-04,5.360000e-02,2.972667e+00
5.300000e-04,4.253333e-02,3.310400e+00
5.320000e-04,2.706667e-02,3.304000e+00
5.340000e-04,3.229867e+00,3.291200e+00
5.360000e-04,3.274133e+00,3.299733e+00
5.380000e-04,5.360000e-02,3.286933e+00
5.400000e-04,4.693333e-02,7.213333e-02
5.420000e-04,4.253333e-02,4.426667e-02
5.440000e-04,2.916000e+00,4.213334e-02
5.460000e-04,3.263067e+00,5.280000e-02
5.480000e-04,3.258667e+00,5.706667e-02
5.500000e-04,4.026667e-02,3.291200e+00
5.520000e-04,7.786667e-02,3.301867e+00
5.540000e-04,4.253333e-02,3.310400e+00
5.560000e-04,3.263067e+00,3.295467e+00
5.580000e-04,3.296267e+00,3.310400e+00
5.600000e-04,3.586667e-02,6.346667e-02
5.620000e-04,5.133333e-02,5.066667e-02
5.640000e-04,1.160000e-02,5.706667e-02
5.660000e-04,3.256400e+00,5.066667e-02
5.680000e-04,3.260800e+00,5.066667e-02
5.700000e-04,5.360000e-02,1.720133e+00
5.720000e-04,4.466667e-02,3.289067e+00
5.740000e-04,2.706667e-02,3.306133e+00
5.760000e-04,3.174667e+00,3.299733e+00
5.780000e-04,3.267467e+00,3.301867e+00
5.800000e-04,8.029333e-01,3.293333e+00
5.820000e-04,3.800000e-02,6.573334e-02
5.840000e-04,4.933333e-03,7.213333e-02
5.860000e-04,1.439467e+00,6.133333e-02
5.880000e-04,3.260800e+00,5.066667e-02
5.900000e-04,3.278533e+00,5.920000e-02
5.920000e-04,4.253333e-02,4.640000e-02
5.940000e-04,2.480000e-02,4.426667e-02
5.960000e-04,2.706667e-02,5.066667e-02
5.980000e-04,3.243200e+00,6.786667e-02
6.000000e-04,3.274133e+00,5.920000e-02
6.020000e-04,3.267467e+00,2.998267e+00
6.040000e-04,3.278533e+00,3.299733e+00
6.060000e-04,3.263067e+00,3.308267e+00
6.080000e-04,3.267467e+00,3.310400e+00
6.100000e-04,3.287333e+00,3.299733e+00
6.120000e-04,3.269733e+00,6.573334e-02
6.140000e-04,3.274133e+00,6.786667e-02
6.160000e-04,3.800000e-02,9.986667e-02
6.180000e-04,4.026667e-02,3.269733e+00
6.200000e-04,4.693333e-02,3.295467e+00
6.220000e-04,3.046400e+00,3.321067e+00
6.240000e-04,3.245333e+00,3.310400e+00
6.260000e-04,3.256400e+00,3.293333e+00
6.280000e-04,3.360000e-02,3.289067e+00
6.300000e-04,4.253333e-02,3.301867e+00
6.320000e-04,-3.866667e-03,3.299733e+00
6.340000e-04,3.252000e+00,3.295467e+00
6.360000e-04,3.269733e+00,3.291200e+00
6.380000e-04,3.800000e-02,6.133333e-02
6.400000e-04,3.146667e-02,6.573334e-02
6.420000e-04,3.586667e-02,5.280000e-02
6.440000e-04,3.258667e+00,5.066667e-02
6.460000e-04,3.265333e+00,7.213333e-02
6.480000e-04,3.586667e-02,2.942800e+00
6.500000e-04,3.360000e-02,3.293333e+00
6.520000e-04,2.040000e-02,3.306133e+00
6.540000e-04,3.260800e+00,3.306133e+00
6.560000e-04,3.282933e+00,3.304000e+00
6.580000e-04,3.586667e-02,3.282667e+00
6.600000e-04,5.133333e-02,5.706667e-02
6.620000e-04,4.026667e-02,5.066667e-02
6.640000e-04,2.869600e+00,5.280000e-02
6.660000e-04,3.258667e+00,5.706667e-02
6.680000e-04,3.256400e+00,5.066667e-02
6.700000e-04,7.066667e-03,3.269733e+00
6.720000e-04,2.480000e-02,3.291200e+00
6.740000e-04,2.920000e-02,3.306133e+00
6.760000e-04,3.252000e+00,3.286933e+00
6.780000e-04,3.274133e+00,3.301867e+00
6.800000e-04,2.920000e-02,3.295467e+00
6.820000e-04,3.586667e-02,3.299733e+00
6.840000e-04,2.480000e-02,3.316800e+00
6.860000e-04,3.267467e+00,3.291200e+00
6.880000e-04,3.269733e+00,3.310400e+00
6.900000e-04,2.920000e-02,7.213333e-02
6.920000e-04,3.146667e-02,3.786667e-02
6.940000e-04,2.040000e-02,6.133333e-02
6.960000e-04,3.203333e+00,5.706667e-02
6.980000e-04,3.269733e+00,6.133333e-02
7.000000e-04,2.706667e-02,1.384000e-01
7.020000e-04,2.920000e-02,6.133333e-02
7.040000e-04,4.693333e-02,5.280000e-02
7.060000e-04,2.504933e+00,4.640000e-02
7.080000e-04,3.278533e+00,5.706667e-02
7.100000e-04,3.269733e+00,4.640000e-02
7.120000e-04,4.253333e-02,5.706667e-02
7.140000e-04,2.706667e-02,7.000000e-02
7.160000e-04,9.333333e-03,7.000000e-02
7.180000e-04,3.274133e+00,5.706667e-02
7.200000e-04,3.263067e+00,7.213333e-02
7.220000e-04,3.800000e-02,5.066667e-02
7.240000e-04,4.026667e-02,5.493334e-02
7.260000e-04,2.253333e-02,7.426666e-02
7.280000e-04,3.263067e+00,6.133333e-02
7.300000e-04,3.274133e+00,5.920000e-02
7.320000e-04,4.253333e-02,7.000000e-02
7.340000e-04,2.040000e-02,7.426666e-02
7.360000e-04,2.706667e-02,6.346667e-02
7.380000e-04,3.170267e+00,6.786667e-02
7.400000e-04,3.265333e+00,6.346667e-02
7.420000e-04,2.040000e-02,7.426666e-02
7.440000e-04,5.133333e-02,3.301867e+00
7.460000e-04,3.800000e-02,3.295467e+00
7.480000e-04,1.826267e+00,3.318933e+00
7.500000e-04,3.269733e+00,3.306133e+00
7.520000e-04,3.276267e+00,3.282667e+00
7.540000e-04,4.026667e-02,7.640000e-02
7.560000e-04,3.800000e-02,3.786667e-02
7.580000e-04,2.480000e-02,7.213333e-02
7.600000e-04,3.267467e+00,4.213334e-02
7.620000e-04,3.258667e+00,4.213334e-02
7.640000e-04,5.133333e-02,5.066667e-02
7.660000e-04,7.066667e-03,5.920000e-02
7.680000e-04,2.706667e-02,4.000000e-02
7.700000e-04,3.249867e+00,6.786667e-02
7.720000e-04,3.260800e+00,5.493334e-02
7.740000e-04,5.360000e-02,5.066667e-02
7.760000e-04,9.333333e-03,3.360000e-02
7.780000e-04,2.480000e-02,5.706667e-02
7.800000e-04,3.097333e+00,8.066667e-02
7.820000e-04,3.269733e+00,7.426666e-02
7.840000e-04,-2.449333e-01,5.706667e-02
7.860000e-04,3.146667e-02,3.291200e+00
7.880000e-04,9.333333e-03,3.316800e+00
7.900000e-04,6.260000e-01,3.299733e+00
7.920000e-04,3.263067e+00,3.274000e+00
7.940000e-04,3.252000e+00,3.299733e+00
7.960000e-04,4.253333e-02,7.213333e-02
7.980000e-04,1.813333e-02,5.493334e-02
8.000000e-04,3.146667e-02,6.133333e-02
8.020000e-04,3.245333e+00,5.706667e-02
8.040000e-04,3.258667e+00,6.786667e-02
8.060000e-04,4.906667e-02,4.213334e-02
8.080000e-04,3.586667e-02,6.786667e-02
8.100000e-04,4.693333e-02,5.706667e-02
8.120000e-04,3.234267e+00,6.133333e-02
8.140000e-04,3.247600e+00,6.346667e-02
8.160000e-04,5.800000e-02,5.493334e-02
8.180000e-04,1.373333e-02,3.291200e+00
8.200000e-04,4.253333e-02,3.295467e+00
8.220000e-04,2.962400e+00,3.321067e+00
8.240000e-04,3.265333e+00,3.301867e+00
8.260000e-04,3.263067e+00,3.310400e+00
8.280000e-04,2.920000e-02,8.920000e-02
8.300000e-04,3.800000e-02,3.573333e-02
8.320000e-04,4.253333e-02,6.133333e-02
8.340000e-04,3.252000e+00,5.280000e-02
8.360000e-04,3.267467e+00,5.066667e-02
8.380000e-04,4.253333e-02,3.259067e+00
8.400000e-04,4.253333e-02,3.278267e+00
8.420000e-04,4.026667e-02,3.293333e+00
8.440000e-04,3.263067e+00,3.301867e+00
8.460000e-04,3.291733e+00,3.306133e+00
8.480000e-04,3.800000e-02,3.291200e+00
8.500000e-04,4.026667e-02,3.308267e+00
8.520000e-04,3.586667e-02,3.299733e+00
8.540000e-04,3.218800e+00,3.289067e+00
8.560000e-04,3.269733e+00,3.291200e+00
8.580000e-04,5.800000e-02,3.252667e+00
8.600000e-04,4.693333e-02,3.293333e+00
8.620000e-04,1.373333e-02,3.291200e+00
8.640000e-04,2.736933e+00,3.306133e+00
8.660000e-04,3.258667e+00,3.291200e+00
8.680000e-04,3.258667e+00,3.289067e+00
8.700000e-04,4.253333e-02,7.000000e-02
8.720000e-04,4.253333e-02,4.853334e-02
8.740000e-04,4.253333e-02,4.640000e-02
8.760000e-04,3.267467e+00,4.640000e-02
8.780000e-04,3.267467e+00,4.000000e-02
8.800000e-04,4.693333e-02,6.133333e-02
8.820000e-04,5.360000e-02,6.133333e-02
8.840000e-04,1.813333e-02,5.706667e-02
8.860000e-04,3.247600e+00,5.280000e-02
8.880000e-04,3.278533e+00,6.786667e-02
8.900000e-04,4.026667e-02,6.573334e-02
8.920000e-04,4.026667e-02,7.426666e-02
8.940000e-04,2.706667e-02,7.853334e-02
8.960000e-04,3.090667e+00,5.280000e-02
8.980000e-04,3.258667e+00,3.786667e-02
9.000000e-04,-1.718667e-01,5.706667e-02
9.020000e-04,3.360000e-02,5.706667e-02
9.040000e-04,3.800000e-02,6.133333e-02
9.060000e-04,3.474667e-01,6.573334e-02
9.080000e-04,3.252000e+00,6.346667e-02
9.100000e-04,3.258667e+00,7.213333e-02
9.120000e-04,3.269733e+00,3.274000e+00
9.140000e-04,3.258667e+00,3.299733e+00
9.160000e-04,3.280800e+00,3.314667e+00
9.180000e-04,3.258667e+00,3.304000e+00
9.200000e-04,3.269733e+00,3.295467e+00
9.220000e-04,3.285200e+00,6.133333e-02
9.240000e-04,3.278533e+00,5.280000e-02
9.260000e-04,9.333333e-03,3.169333e+00
9.280000e-04,1.160000e-02,3.286933e+00
9.300000e-04,3.586667e-02,3.286933e+00
9.320000e-04,3.254267e+00,3.314667e+00
9.340000e-04,3.274133e+00,3.301867e+00
9.360000e-04,2.040000e-02,3.274000e+00
9.380000e-04,4.026667e-02,3.301867e+00
9.400000e-04,4.026667e-02,3.291200e+00
9.420000e-04,3.132667e+00,3.297600e+00
